label,scan_case,clean_case,select_threshold,boundary_layer,n_pix,rmse,median_abs_residual,p95_abs_residual,median_unc
A_no_rotation_24h__threshold_0.005,A_no_rotation_24h,"No rotation, 24 h",0.005,0,140,2119.4568217614515,2037.9622952047835,2596.4752288948857,100.0
A_no_rotation_24h__threshold_0.005,A_no_rotation_24h,"No rotation, 24 h",0.005,1,144,3956.5090806305802,2144.9490622684907,9392.849813727265,99.75595835905754
A_no_rotation_24h__threshold_0.005,A_no_rotation_24h,"No rotation, 24 h",0.005,2,112,3414.905266168792,1860.0710852006919,8215.01947381426,98.48304256691279
A_no_rotation_24h__threshold_0.005,A_no_rotation_24h,"No rotation, 24 h",0.005,3,64,2823.410901930878,1943.3594869563362,5419.660255617397,94.12959790033074
A_no_rotation_24h__threshold_0.005,A_no_rotation_24h,"No rotation, 24 h",0.005,4,64,1700.4801070558574,1353.8427617792443,2885.332894278982,82.19186745123163
A_no_rotation_24h__threshold_0.005,A_no_rotation_24h,"No rotation, 24 h",0.005,5,64,749.0276695235391,369.89918966683217,1505.8766628648043,72.00088744257363
A_no_rotation_24h__threshold_0.005,A_no_rotation_24h,"No rotation, 24 h",0.005,6,60,858.3809457262571,397.5190971790613,1311.6446732396278,69.61741901306385
A_no_rotation_24h__threshold_0.005,A_no_rotation_24h,"No rotation, 24 h",0.005,7,84,952.5731733050046,465.36004999067484,2085.6473883872072,72.97395671992382
C_fast_rotation_24h_one_turn_per_hour__threshold_0.1,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.1,0,64,1318.81476577545,654.680730424091,2888.766435874094,60.62003008865621
C_fast_rotation_24h_one_turn_per_hour__threshold_0.1,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.1,1,64,462.908420330665,295.769332269747,788.731705416873,42.44742394803938
C_fast_rotation_24h_one_turn_per_hour__threshold_0.1,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.1,2,64,416.8075944004335,266.9014955829492,898.8660082059828,36.166746322044844
C_fast_rotation_24h_one_turn_per_hour__threshold_0.1,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.1,3,52,299.90484834636175,170.65593244180798,691.683584126431,30.076634917673886
