label,scan_case,clean_case,select_threshold,region,n_pix,rmse,corr,median_abs_residual,p95_abs_residual,median_unc,p95_unc,median_weighted_hit
E_same_LST_12days_30deg_step_stacked__threshold_0.05,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.05,edge,64,1576.5584611884674,0.5953939644363779,911.1084398287605,3294.939610117063,37.916380710783564,50.35825987219943,4.162102807902058
E_same_LST_12days_30deg_step_stacked__threshold_0.05,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.05,interior,272,461.50878039832475,0.8785904669974297,271.434698629135,880.8794546739582,11.18130550403349,17.797733764688484,62.673682706405
E_same_LST_12days_30deg_step_stacked__threshold_0.03,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.03,edge,64,2304.6866712138053,0.4888173667416688,1384.6486524943925,5106.994641668042,62.03160294255635,74.63206746873202,2.3895723933112585
E_same_LST_12days_30deg_step_stacked__threshold_0.03,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.03,interior,304,621.1402772501357,0.7968668301231783,298.859076346841,1283.6021317889956,12.64900034542255,26.449098525529223,50.696481995648284
E_same_LST_12days_30deg_step_stacked__threshold_0.02,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.02,edge,64,2304.6866712138053,0.4888173667416688,1384.6486524943925,5106.994641668042,62.03160294255635,74.63206746873202,2.3895723933112585
E_same_LST_12days_30deg_step_stacked__threshold_0.02,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.02,interior,304,621.1402772501357,0.7968668301231783,298.859076346841,1283.6021317889956,12.64900034542255,26.449098525529223,50.696481995648284
E_same_LST_12days_30deg_step_stacked__threshold_0.01,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.01,edge,184,3604.347850210622,0.05808492518515426,2065.1595260812683,7602.7593364986105,93.38118293477595,99.88025004065243,0.04370394515437097
E_same_LST_12days_30deg_step_stacked__threshold_0.01,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.01,interior,404,1539.165076417415,0.3826710997034516,415.67117570247035,3037.2235119386173,13.939744083140202,90.62974939795747,32.604450767572374
E_same_LST_12days_30deg_step_stacked__threshold_0.005,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.005,edge,0,,,,,,,
E_same_LST_12days_30deg_step_stacked__threshold_0.005,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.005,interior,768,2386.0034326394593,0.14742635998071565,727.2472582852924,5179.960395629523,78.88285996445578,100.0,0.5081205726694596
G_same_LST_12days_fast_hourly_stacked__threshold_0.1,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.1,edge,64,894.4693054756947,0.6657923232697642,373.22934536680077,1915.2603262718394,20.98288004955726,25.479647956469467,7.9354509188929985
