label,scan_case,clean_case,select_threshold,n_tod,n_pix_solved,condition_number,rank,weighted_hit_min,weighted_hit_median,weighted_hit_p95,n_pix_all_metric,rmse_all,bias_all,std_all,corr_all,median_abs_residual_all,p95_abs_residual_all,n_pix_hit_metric,rmse_hit,bias_hit,std_hit,corr_hit,median_abs_residual_hit,p95_abs_residual_hit,dec_min,dec_p05,dec_median,dec_p95,dec_max
A_no_rotation_24h__threshold_0.1,A_no_rotation_24h,"No rotation, 24 h",0.1,1440,304,28656.047878589583,304,0.5084108506268535,4.117340696688131,9.660526557318052,304,1351.5987336887085,-460.6307569270332,1270.6842419270606,0.38436771990908897,700.8218064331512,2853.924372135799,240,991.1404627072188,-75.95793424834989,988.2255861088616,0.5792279124815205,530.6773744754844,2033.5195844808038,14.477512185929925,14.477512185929925,35.68533471265204,72.38756092964962,84.14973293629666
A_no_rotation_24h__threshold_0.05,A_no_rotation_24h,"No rotation, 24 h",0.05,1440,304,28656.047878589583,304,0.5084108506268535,4.117340696688131,9.660526557318052,304,1351.5987336887085,-460.6307569270332,1270.6842419270606,0.38436771990908897,700.8218064331512,2853.924372135799,240,991.1404627072188,-75.95793424834989,988.2255861088616,0.5792279124815205,530.6773744754844,2033.5195844808038,14.477512185929925,14.477512185929925,35.68533471265204,72.38756092964962,84.14973293629666
A_no_rotation_24h__threshold_0.03,A_no_rotation_24h,"No rotation, 24 h",0.03,1440,368,31163.324123587932,368,0.14927863569064762,2.6871485231157655,9.658877441800938,368,1765.5912276736585,-818.8664365031659,1564.2155038250908,0.22306030230656002,949.7942584153899,3401.9568816828573,240,985.3291909365105,-78.46170120561189,982.2002728341708,0.5823445098820954,521.0987530591599,2019.8835943442543,4.780191847199163,4.780191847199163,30.000000000000007,72.38756092964962,84.14973293629666
A_no_rotation_24h__threshold_0.02,A_no_rotation_24h,"No rotation, 24 h",0.02,1440,368,31163.324123587932,368,0.14927863569064762,2.6871485231157655,9.658877441800938,368,1765.5912276736585,-818.8664365031659,1564.2155038250908,0.22306030230656002,949.7942584153899,3401.9568816828573,240,985.3291909365105,-78.46170120561189,982.2002728341708,0.5823445098820954,521.0987530591599,2019.8835943442543,4.780191847199163,4.780191847199163,30.000000000000007,72.38756092964962,84.14973293629666
A_no_rotation_24h__threshold_0.01,A_no_rotation_24h,"No rotation, 24 h",0.01,1440,524,36018.29255345049,524,0.002744792047846003,0.8470945919977207,9.359739479792827,524,2529.938066667965,-1468.1480339774982,2060.3708334917883,0.03757764131044783,1441.2941381662238,5003.383479963242,240,982.630351501889,-78.41752918520578,979.4963495640059,0.5837010653488546,522.2880847692063,2012.8090283835306,-78.28414760510762,-54.340912303861245,19.47122063449069,66.44353569089877,84.14973293629666
A_no_rotation_24h__threshold_0.005,A_no_rotation_24h,"No rotation, 24 h",0.005,1440,732,3.6183876217831373e+133,524,0.0,0.14934573471247126,9.284929131835307,524,2529.9380666679654,-1468.1480339774969,2060.370833491789,0.03757764131044746,1441.2941381662238,5003.383479963242,240,982.6303515018893,-78.41752918520281,979.4963495640066,0.5837010653488538,522.2880847692065,2012.8090283835284,-78.28414760510762,-60.4344388449523,4.780191847199163,66.44353569089877,84.14973293629666
C_fast_rotation_24h_one_turn_per_hour__threshold_0.1,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.1,1440,304,322.0863609715137,304,0.44831405580621747,4.2258164955345086,9.424928272950275,304,691.9081004036855,-117.14223819934602,681.9197279987462,0.7563762534064228,272.37966089777717,1302.2618469246377,240,377.61620930702236,79.25547510855145,369.205323900838,0.9248616239955915,220.64244937241028,719.8873141942444,14.477512185929925,14.477512185929925,35.68533471265204,72.38756092964962,84.14973293629666
C_fast_rotation_24h_one_turn_per_hour__threshold_0.05,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.05,1440,336,665.1069067412604,336,0.24243365330298458,4.196755797997998,9.424724022942684,336,1062.4891810661059,-332.9965542015902,1008.9581531324238,0.5688359123566832,304.9322620696096,2062.4144865741773,240,374.2885482409364,75.85315952503079,366.52178043654925,0.9257142398219474,217.1003003130279,711.2273764987777,9.594068226860458,9.594068226860458,35.68533471265204,72.38756092964962,84.14973293629666
C_fast_rotation_24h_one_turn_per_hour__threshold_0.03,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.03,1440,368,1309.6531020816406,368,0.1402587321523729,2.7209081289164896,9.424055515096695,368,1362.7890223439929,-529.9546437359933,1255.5245895656333,0.4377008873888175,349.12156180982845,2772.9497618517753,240,373.71326278053704,75.42307185871715,366.02317277662826,0.9258172384775128,218.65725606882233,712.9990320094727,4.780191847199163,4.780191847199163,30.000000000000007,72.38756092964962,84.14973293629666
C_fast_rotation_24h_one_turn_per_hour__threshold_0.02,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.02,1440,368,1309.6531020816406,368,0.1402587321523729,2.7209081289164896,9.424055515096695,368,1362.7890223439929,-529.9546437359933,1255.5245895656333,0.4377008873888175,349.12156180982845,2772.9497618517753,240,373.71326278053704,75.42307185871715,366.02317277662826,0.9258172384775128,218.65725606882233,712.9990320094727,4.780191847199163,4.780191847199163,30.000000000000007,72.38756092964962,84.14973293629666
