scan_case,clean_case,median_Neff,p10_Neff,p90_Neff,rmse,corr
A_no_rotation_24h,"No rotation, 24 h",357.2526365921826,291.85578682886046,527.8309898109333,991.1404627072188,0.5792279124815205
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",355.1506232283598,302.8483495102228,524.377408808398,374.2885482409364,0.9257142398219474
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",4108.519718788311,3193.6553260968703,6108.909402864438,803.6518539860798,0.7259597247292561
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",4091.5697701513072,3176.3912557214626,6120.131157923693,661.6013284281235,0.8011179465826544
