select_threshold,scan_case,clean_case,n_common_pix,n_tod,n_solved_pix_total,rmse_common,corr_common,median_abs_residual_common,p95_abs_residual_common,median_unc_common,p95_unc_common,median_weighted_hit_common,condition_number
0.1,A_no_rotation_24h,"No rotation, 24 h",240,1440,304,991.1404627072188,0.5792279124815205,530.6773744754844,2033.5195844808038,71.91053458335078,87.35015270573767,6.240757774790045,28656.047878589583
0.1,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",240,1440,304,377.61620930702236,0.9248616239955915,220.64244937241028,719.8873141942444,32.843205515721095,44.00220015450875,6.218843415637256,322.0863609715137
0.1,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",240,17280,304,456.35970082197514,0.8903278391016836,271.4318107786303,901.1328319863605,10.388893494611242,14.10281696389422,74.77374731554397,293.01627361738764
0.1,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",240,17280,304,305.92938727496744,0.9497170742552911,172.76141455041477,622.9952730640053,9.590521082239714,13.329823935320508,74.5936082514128,274.82385960404815
0.05,A_no_rotation_24h,"No rotation, 24 h",240,1440,304,991.1404627072188,0.5792279124815205,530.6773744754844,2033.5195844808038,71.91053458335078,87.35015270573767,6.240757774790045,28656.047878589583
0.05,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",240,1440,336,374.2885482409364,0.9257142398219474,217.1003003130279,711.2273764987777,32.89859378467931,44.102468814158904,6.218843415637256,665.1069067412604
0.05,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",240,17280,336,441.51387395554406,0.8943927836834568,252.91600939052807,867.5743250795658,10.534168826994748,14.283693936840299,74.77374731554397,708.7865497801395
0.05,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",240,17280,336,298.5533777527529,0.9505185469545784,177.3416483383039,605.5409205410355,9.630867685261416,13.38449845970432,74.5936082514128,596.5755223109087
0.03,A_no_rotation_24h,"No rotation, 24 h",240,1440,368,985.3291909365105,0.5823445098820954,521.0987530591599,2019.8835943442543,72.16417089457107,87.5004583251921,6.240757774790045,31163.324123587932
0.03,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",240,1440,368,373.71326278053704,0.9258172384775128,218.65725606882233,712.9990320094727,32.9283010687609,44.12767910190206,6.218843415637256,1309.6531020816406
0.03,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",240,17280,368,439.40826203658077,0.8947752605490099,245.295799639704,877.1069335931571,10.60788664932533,14.329632066202795,74.77374731554397,1295.132624150575
0.03,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",240,17280,368,296.6176304073629,0.950866134306479,177.39385325614717,588.3642865100048,9.68708455203574,13.415433523902646,74.5936082514128,1150.0225907172915
0.02,A_no_rotation_24h,"No rotation, 24 h",240,1440,368,985.3291909365105,0.5823445098820954,521.0987530591599,2019.8835943442543,72.16417089457107,87.5004583251921,6.240757774790045,31163.324123587932
0.02,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",240,1440,368,373.71326278053704,0.9258172384775128,218.65725606882233,712.9990320094727,32.9283010687609,44.12767910190206,6.218843415637256,1309.6531020816406
0.02,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",240,17280,368,439.40826203658077,0.8947752605490099,245.295799639704,877.1069335931571,10.60788664932533,14.329632066202795,74.77374731554397,1295.132624150575
0.02,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",240,17280,368,296.6176304073629,0.950866134306479,177.39385325614717,588.3642865100048,9.68708455203574,13.415433523902646,74.5936082514128,1150.0225907172915
0.01,A_no_rotation_24h,"No rotation, 24 h",240,1440,524,982.630351501889,0.5837010653488546,522.2880847692063,2012.8090283835306,72.25946596712751,87.54552711365561,6.240757774790045,36018.29255345049
0.01,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",240,1440,584,372.8091118561432,0.9259813508622854,217.73155845452493,712.4117835667078,32.969642240265976,44.195717639596026,6.218843415637256,10308.703691338891
0.01,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",240,17280,588,440.67796423866423,0.8928232184479564,238.4548226872239,898.4579977220735,10.771956477151518,14.491642612980403,74.77374731554397,19786.61129145738
0.01,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",240,17280,654,297.9340297933942,0.9499244818128627,168.49978457124098,621.8822857544269,9.735616167144986,13.457680053408055,74.5936082514128,26970.14746660227
0.005,A_no_rotation_24h,"No rotation, 24 h",240,1440,732,982.6303515018893,0.5837010653488538,522.2880847692065,2012.8090283835284,72.25946596712751,87.54552711365562,6.240757774790045,3.6183876217831373e+133
0.005,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",240,1440,768,372.8091118561438,0.9259813508622851,217.7315584545256,712.4117835667151,32.969642240265976,44.195717639596026,6.218843415637256,inf
0.005,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",240,17280,768,440.6779642386645,0.8928232184479563,238.45482268732462,898.4579977220734,10.771956477151521,14.491642612980403,74.77374731554397,inf
0.005,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",240,17280,768,297.9340297933978,0.9499244818128613,168.49978457123825,621.8822857544279,9.735616167144986,13.457680053408055,74.5936082514128,inf
