case_key,clean_label,noise_case,delta_nu_Hz,white_noise_var,sigma_frac,equiv_sigma_K_median,n_pix,rmse,bias,std,corr,median_abs_residual,p95_abs_residual
A_no_rotation_24h,"No rotation, 24 h",none,,0.0,0.0,0.0,272,1160.2471918035365,-344.1095501275883,1108.0442967674987,0.5102760985757808,669.8996434715293,2504.3694402564993
A_no_rotation_24h,"No rotation, 24 h",raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,6.983749895416331,272,1289.5921900022022,-576.6935224490257,1153.4611383484107,0.5160477982471788,705.3076415171844,2660.7771158713917
A_no_rotation_24h,"No rotation, 24 h",bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,0.7716026420562077,272,1137.4070666340972,-314.7300997533422,1092.9957911805666,0.512207505114043,672.8987942814578,2432.0508480958315
A_no_rotation_24h,"No rotation, 24 h",bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,0.2440021797501244,272,1065.36107178104,-132.84944692268712,1057.04552301156,0.5102548714814976,651.133466785902,2256.6171417530377
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",none,,0.0,0.0,0.0,272,605.5949913427412,-80.99094819896486,600.1547799103557,0.8095371902164034,371.09953716499695,1154.4727177491504
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,7.004496297215086,272,1142.2715752465913,-487.45958471397415,1033.0379977942769,0.5657012930417433,587.7904856240189,2329.4940232169774
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,0.7738948172745079,272,548.6433944147914,-51.55598842029887,546.2156664660858,0.8382957133342567,323.04439746737194,1094.1752146458243
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,0.24472702919872663,272,616.4404648634948,-13.374797478527828,616.2953525003494,0.8126939047408477,339.9242012758766,1270.5837409401079
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",none,,0.0,0.0,0.0,272,461.9034697142969,7.884168427181277,461.83617790545406,0.8754034953335142,268.1005509343846,947.7004522816641
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,6.9757090632698056,272,703.0641284357987,-222.54892280161783,666.9116475613757,0.7563968664761345,278.6250617755733,1557.4047636836174
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,0.7707142472222717,272,452.2027256490163,-0.11422803493315277,452.20271122180986,0.8804116315145052,252.1965085131842,940.8537039540012
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,0.24372124463644793,272,458.757376026208,0.18341302870186216,458.7573393615763,0.8771730539152927,256.557980508382,951.2920486034977
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",none,,0.0,0.0,0.0,272,651.8272234645312,-17.46347387039727,651.5932445397649,0.795020746111037,383.6867519882046,1354.6095028279817
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,7.004496297215086,272,707.2144597522579,-213.36592462794422,674.2605388796977,0.7594283565795522,358.6356859594223,1418.3051879788654
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,0.7738948172745079,272,623.8333063447168,-13.292551078881978,623.6916723756993,0.8095902948373592,341.98162668117016,1298.904365999529
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,0.24472702919872663,272,672.7953669922789,-19.30174043098758,672.518437414626,0.7887165361981322,347.147450606323,1393.3337897380864
