scan_case,clean_label,noise_case,delta_nu_Hz,white_noise_var,sigma_frac,n_tod,n_pix,method,rmse,bias,std,corr,median_abs_residual,p95_abs_residual,n_iter,converged
A_no_rotation_24h,A_no_rotation_24h,none,,0.0,0.0,720,240,limTOD_equiv_variance,41729.41696120283,36911.88958257997,19464.240220603166,0.5987286328854917,35763.771689057554,72808.76464038574,,
A_no_rotation_24h,A_no_rotation_24h,none,,0.0,0.0,720,240,hydra_lite_IRLS,981.3834390522971,-230.081026963286,954.0315379889878,0.6147313059975141,626.5740212273863,2108.6670987978932,0.0,True
A_no_rotation_24h,A_no_rotation_24h,raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,720,240,limTOD_equiv_variance,26957.343004443843,24526.618048428016,11186.748811239233,0.35985568418196257,26376.444117005347,41194.75154522817,,
A_no_rotation_24h,A_no_rotation_24h,raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,720,240,hydra_lite_IRLS,981.2999534497263,-235.9615750512674,952.5081279127019,0.605778140651484,589.7852854724559,2101.428188980547,6.0,True
A_no_rotation_24h,A_no_rotation_24h,bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,720,240,limTOD_equiv_variance,41885.09265277909,37056.65312607133,19523.458854053424,0.5980759706682489,36028.83739773881,73419.60357975563,,
A_no_rotation_24h,A_no_rotation_24h,bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,720,240,hydra_lite_IRLS,977.9309471514464,-229.50633498497305,950.618629944885,0.615717353294664,611.1853757621096,2117.3446805845133,5.0,True
A_no_rotation_24h,A_no_rotation_24h,bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,720,240,limTOD_equiv_variance,42269.11870665023,37278.041281959246,19925.51214943874,0.6090138197083631,35609.745611491926,74127.297637773,,
A_no_rotation_24h,A_no_rotation_24h,bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,720,240,hydra_lite_IRLS,937.4792655660444,-219.93711870831825,911.3150043648646,0.62486625664853,586.2694290547197,2088.7632139083967,5.0,True
C_fast_rotation_24h_one_turn_per_hour,C_fast_rotation_24h_one_turn_per_hour,none,,0.0,0.0,720,208,limTOD_equiv_variance,43336.45377863219,39506.69381011872,17812.056880131815,0.6878432313541978,36757.22565290483,70536.56197776235,,
C_fast_rotation_24h_one_turn_per_hour,C_fast_rotation_24h_one_turn_per_hour,none,,0.0,0.0,720,208,hydra_lite_IRLS,613.0006494271897,81.81864845632421,607.5158474994186,0.7889986606357967,458.34355368681054,1073.1830736765824,0.0,True
C_fast_rotation_24h_one_turn_per_hour,C_fast_rotation_24h_one_turn_per_hour,raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,720,208,limTOD_equiv_variance,28590.064345922634,26600.07572074631,10479.873613482134,0.44915414805096343,28078.934491537533,42842.56611099309,,
C_fast_rotation_24h_one_turn_per_hour,C_fast_rotation_24h_one_turn_per_hour,raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,720,208,hydra_lite_IRLS,922.5649643185216,26.90635209573499,922.1725226902694,0.6173914722859968,405.9471481046821,2114.2948050999985,8.0,True
C_fast_rotation_24h_one_turn_per_hour,C_fast_rotation_24h_one_turn_per_hour,bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,720,208,limTOD_equiv_variance,43544.479168343874,39790.54803542415,17687.112627077884,0.676583680186373,37238.36142209113,70005.13905189386,,
C_fast_rotation_24h_one_turn_per_hour,C_fast_rotation_24h_one_turn_per_hour,bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,720,208,hydra_lite_IRLS,706.7802469627393,78.47409236987065,702.4102322172106,0.7452509561871623,500.6195239637742,1304.9795333289694,6.0,True
C_fast_rotation_24h_one_turn_per_hour,C_fast_rotation_24h_one_turn_per_hour,bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,720,208,limTOD_equiv_variance,43866.72253397638,40656.51308110813,16472.31890046314,0.72432344267269,40088.0952922228,67938.40078105882,,
C_fast_rotation_24h_one_turn_per_hour,C_fast_rotation_24h_one_turn_per_hour,bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,720,208,hydra_lite_IRLS,1565.6821844518965,-7.568329769217712,1565.6638921219865,0.4677990543756441,1000.8099932753489,2924.403062674426,6.0,True
E_same_LST_12days_30deg_step_stacked,E_same_LST_12days_30deg_step_stacked,none,,0.0,0.0,8640,536,limTOD_equiv_variance,30400.843505163066,20183.07218111735,22734.44266212001,0.3794130655910449,19533.108205089084,62142.6853999618,,
E_same_LST_12days_30deg_step_stacked,E_same_LST_12days_30deg_step_stacked,none,,0.0,0.0,8640,536,hydra_lite_IRLS,1834.0068206717356,-636.3146851004951,1720.0827421365243,0.7186574232365618,1045.665804031629,3591.3500575575063,0.0,True
E_same_LST_12days_30deg_step_stacked,E_same_LST_12days_30deg_step_stacked,raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,8640,536,limTOD_equiv_variance,26173.9197962765,15742.41364051768,20910.535389433662,0.10336146497611007,5548.466925013521,61906.125631329814,,
E_same_LST_12days_30deg_step_stacked,E_same_LST_12days_30deg_step_stacked,raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,8640,536,hydra_lite_IRLS,1760.3946887702973,-962.6757425756579,1473.8537494972413,0.5645434668481271,819.2902371170214,3334.252091739108,7.0,True
E_same_LST_12days_30deg_step_stacked,E_same_LST_12days_30deg_step_stacked,bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,8640,536,limTOD_equiv_variance,31595.996264322188,21503.417510594074,23149.730350484384,0.4370895649729966,22269.7522225943,60658.33151498233,,
E_same_LST_12days_30deg_step_stacked,E_same_LST_12days_30deg_step_stacked,bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,8640,536,hydra_lite_IRLS,1959.1106610554298,-597.585295810247,1865.7455336922085,0.7023013133950532,1182.7726056792362,3841.4844428483916,6.0,True
E_same_LST_12days_30deg_step_stacked,E_same_LST_12days_30deg_step_stacked,bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,8640,536,limTOD_equiv_variance,39213.42969913592,26628.63468277284,28785.567281200183,0.6564054820453683,30453.301783781302,71538.64317436071,,
E_same_LST_12days_30deg_step_stacked,E_same_LST_12days_30deg_step_stacked,bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,8640,536,hydra_lite_IRLS,2722.618573536271,-395.1840828124333,2693.785707448975,0.6056808738314591,1526.4216346732896,5428.490092404526,6.0,True
G_same_LST_12days_fast_hourly_stacked,G_same_LST_12days_fast_hourly_stacked,none,,0.0,0.0,8640,528,limTOD_equiv_variance,30645.50814090231,20549.577258790934,22734.600143813663,0.3943082753130741,19885.012623687104,62011.65652711221,,
G_same_LST_12days_fast_hourly_stacked,G_same_LST_12days_fast_hourly_stacked,none,,0.0,0.0,8640,528,hydra_lite_IRLS,1935.36787591935,-610.7098648067381,1836.4863942235759,0.7037962222533685,1194.2695220180099,3964.8792763523243,0.0,True
G_same_LST_12days_fast_hourly_stacked,G_same_LST_12days_fast_hourly_stacked,raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,8640,528,limTOD_equiv_variance,26367.209219940043,16018.040166089851,20944.023283161798,0.1170761620380475,5837.122284162699,62007.63141629466,,
G_same_LST_12days_fast_hourly_stacked,G_same_LST_12days_fast_hourly_stacked,raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,8640,528,hydra_lite_IRLS,1697.6644548141953,-930.5748388864224,1419.8926263528126,0.5759124904509136,816.875284679088,3319.412211886319,7.0,True
G_same_LST_12days_fast_hourly_stacked,G_same_LST_12days_fast_hourly_stacked,bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,8640,528,limTOD_equiv_variance,31874.75819059939,21906.94653077111,23153.528962279564,0.4518165599987059,22439.008400997976,60380.60371023126,,
G_same_LST_12days_fast_hourly_stacked,G_same_LST_12days_fast_hourly_stacked,bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,8640,528,hydra_lite_IRLS,2126.3850675308527,-573.5806471072885,2047.5640885408625,0.6754337043099778,1387.547287818175,4184.7925088288,6.0,True
G_same_LST_12days_fast_hourly_stacked,G_same_LST_12days_fast_hourly_stacked,bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,8640,528,limTOD_equiv_variance,39934.8215317259,27269.71869649554,29174.516499589165,0.6599972655027939,30988.486123833813,72174.59315449622,,
G_same_LST_12days_fast_hourly_stacked,G_same_LST_12days_fast_hourly_stacked,bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,8640,528,hydra_lite_IRLS,3313.847667845418,-426.0489726605701,3286.3457880416954,0.5292121766053809,2022.6855430614437,6375.500974008011,6.0,True
