noise_case,scan_case,clean_label,method,n_common_pix,n_pix,rmse,bias,std,corr,median_abs_residual,p95_abs_residual
none,A_no_rotation_24h,"No rotation, 24 h",hydra_lite_IRLS,208,208,815.551649148651,-26.762541976211335,815.1124209433051,0.7010515942554433,523.0499025063914,1769.1814982871772
none,A_no_rotation_24h,"No rotation, 24 h",limTOD_equiv_variance,208,208,44528.54218899718,40653.48217644663,18168.254082509884,0.6889809799759679,38037.80831172126,73939.0893261321
none,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",hydra_lite_IRLS,208,208,613.0006494271897,81.81864845632421,607.5158474994186,0.7889986606357967,458.34355368681054,1073.1830736765824
none,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",limTOD_equiv_variance,208,208,43336.45377863219,39506.69381011872,17812.056880131815,0.6878432313541978,36757.22565290483,70536.56197776235
none,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",hydra_lite_IRLS,208,208,1266.0824199801186,24.14015150563511,1265.852261232723,0.5458688634661331,820.5302260023961,2377.125389349287
none,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",limTOD_equiv_variance,208,208,44036.85613415866,40496.958448742946,17298.585334684878,0.6757652243865956,38621.6888366987,69636.80224905984
none,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",hydra_lite_IRLS,208,208,1361.051108992117,9.666000190571314,1361.0167852488034,0.512056715423213,892.9900811696234,2484.263703179278
none,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",limTOD_equiv_variance,208,208,44024.87054559502,40509.09371217698,17239.563601624686,0.6773041034459378,38634.647904998026,69725.64513818125
raw_10MHz_over_8192,A_no_rotation_24h,"No rotation, 24 h",hydra_lite_IRLS,208,208,809.6176735891156,-30.584869589766676,809.0397661054917,0.695264505670642,518.2348061249185,1680.136339538932
raw_10MHz_over_8192,A_no_rotation_24h,"No rotation, 24 h",limTOD_equiv_variance,208,208,28789.67190399741,27089.11469881536,9748.080486651897,0.43349555359217323,28006.69433179899,41290.69666790616
raw_10MHz_over_8192,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",hydra_lite_IRLS,208,208,922.5649643185216,26.90635209573499,922.1725226902694,0.6173914722859968,405.9471481046821,2114.2948050999985
raw_10MHz_over_8192,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",limTOD_equiv_variance,208,208,28590.064345922634,26600.07572074631,10479.873613482134,0.44915414805096343,28078.934491537533,42842.56611099309
raw_10MHz_over_8192,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",hydra_lite_IRLS,208,208,632.8265700869773,76.11690484555267,628.2321900418515,0.7776714422451693,395.74574228323127,1324.6319665047881
raw_10MHz_over_8192,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",limTOD_equiv_variance,208,208,41679.562969241466,38040.292346797716,17032.97177468243,0.66723745862226,35271.68955882071,66984.95624237752
raw_10MHz_over_8192,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",hydra_lite_IRLS,208,208,640.9875230629921,75.18162759434767,636.5632157097161,0.7725479774878297,389.6140549400776,1305.1986451700543
raw_10MHz_over_8192,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",limTOD_equiv_variance,208,208,41682.16489915963,38043.251494868746,17032.72985692256,0.6673030198142361,35292.67058962664,67020.37314807066
bandavg_100kHz,A_no_rotation_24h,"No rotation, 24 h",hydra_lite_IRLS,208,208,814.8005465296227,-27.899198467344657,814.3227648480985,0.7007762447547394,518.2996572517582,1742.9969103479195
bandavg_100kHz,A_no_rotation_24h,"No rotation, 24 h",limTOD_equiv_variance,208,208,44693.82208679905,40812.28219196099,18217.995362009264,0.6881206314493613,38087.88529453094,73944.09105662718
