scan_case,clean_label,noise_case,delta_nu_Hz,white_noise_var,sigma_frac,tod_clean_median,tod_noisy_median,equiv_sigma_K_median,method,n_pix,rmse,bias,std,corr,median_abs_residual,p95_abs_residual,n_iter,converged
C_fast_rotation_24h_one_turn_per_hour,C_fast_rotation_24h_one_turn_per_hour,none,,0.0,0.0,2571.460744312888,2571.460744312888,0.0,limTOD_equiv_variance,208,43336.45377863219,39506.69381011872,17812.056880131815,0.6878432313541978,36757.22565290483,70536.56197776235,,
C_fast_rotation_24h_one_turn_per_hour,C_fast_rotation_24h_one_turn_per_hour,none,,0.0,0.0,2571.460744312888,2571.460744312888,0.0,hydra_lite_IRLS,208,613.0006494271897,81.81864845632421,607.5158474994186,0.7889986606357967,458.34355368681054,1073.1830736765824,0.0,True
C_fast_rotation_24h_one_turn_per_hour,C_fast_rotation_24h_one_turn_per_hour,raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,2571.460744312888,2567.5870171289757,6.718684498308283,limTOD_equiv_variance,208,28590.064345922634,26600.07572074631,10479.873613482134,0.44915414805096343,28078.934491537533,42842.56611099309,,
C_fast_rotation_24h_one_turn_per_hour,C_fast_rotation_24h_one_turn_per_hour,raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,2571.460744312888,2567.5870171289757,6.718684498308283,hydra_lite_IRLS,208,922.5649643185216,26.90635209573499,922.1725226902694,0.6173914722859968,405.9471481046821,2114.2948050999985,8.0,True
C_fast_rotation_24h_one_turn_per_hour,C_fast_rotation_24h_one_turn_per_hour,bandavg_10kHz,10000.0,8.333333333333333e-07,0.0009128709291752768,2571.460744312888,2569.6676222138494,2.347411758998655,limTOD_equiv_variance,208,40827.37775851735,37307.476948722644,16583.936153917315,0.6546811597040685,34531.00510359749,65061.85193086894,,
C_fast_rotation_24h_one_turn_per_hour,C_fast_rotation_24h_one_turn_per_hour,bandavg_10kHz,10000.0,8.333333333333333e-07,0.0009128709291752768,2571.460744312888,2569.6676222138494,2.347411758998655,hydra_lite_IRLS,208,694.7673009018556,69.20814149165636,691.311677576562,0.7411792932883535,374.4142094887395,1484.2399176841118,7.0,True
C_fast_rotation_24h_one_turn_per_hour,C_fast_rotation_24h_one_turn_per_hour,bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,2571.460744312888,2570.8937093173136,0.7423167764698007,limTOD_equiv_variance,208,43544.479168343874,39790.54803542415,17687.112627077884,0.676583680186373,37238.36142209113,70005.13905189386,,
C_fast_rotation_24h_one_turn_per_hour,C_fast_rotation_24h_one_turn_per_hour,bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,2571.460744312888,2570.8937093173136,0.7423167764698007,hydra_lite_IRLS,208,706.7802469627393,78.47409236987065,702.4102322172106,0.7452509561871623,500.6195239637742,1304.9795333289694,6.0,True
C_fast_rotation_24h_one_turn_per_hour,C_fast_rotation_24h_one_turn_per_hour,bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,2571.460744312888,2571.2814321029837,0.23474117589986548,limTOD_equiv_variance,208,43866.72253397638,40656.51308110813,16472.31890046314,0.72432344267269,40088.0952922228,67938.40078105882,,
C_fast_rotation_24h_one_turn_per_hour,C_fast_rotation_24h_one_turn_per_hour,bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,2571.460744312888,2571.2814321029837,0.23474117589986548,hydra_lite_IRLS,208,1565.6821844518965,-7.568329769217712,1565.6638921219865,0.4677990543756441,1000.8099932753489,2924.403062674426,6.0,True
