case,noise_name,delta_nu_hz,sigma_frac,equiv_sigma_K_median,rmse_gls,corr_gls,rmse_hydra,corr_hydra,hydra_iter,hydra_converged
C_fast_rotation_24h_one_turn_per_hour,raw_10MHz_over_8192,1220.703125,0.0026127890589687235,0.026244861321516745,216241.98667457057,0.17459907366606703,216288.230800059,0.17457923591224234,20,False
C_fast_rotation_24h_one_turn_per_hour,bandavg_10kHz,10000.0,0.0009128709291752768,0.0091695771835885,147754.7318548019,0.24871873160223143,147741.82486032147,0.24875722911372264,20,True
C_fast_rotation_24h_one_turn_per_hour,bandavg_100kHz,100000.0,0.0002886751345948129,0.0028996749080851605,136834.65684146443,0.26525850221680586,136817.63649914128,0.2653092223855784,20,True
C_fast_rotation_24h_one_turn_per_hour,bandavg_1MHz,1000000.0,9.128709291752768e-05,0.0009169577183588502,135708.6709136322,0.26612013973924037,135691.6018826371,0.26617138753073477,20,True
